date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:15:17	117/117	---MC-	200	added ('OK')	text/plain	date:Thu,%2005%20Feb%202026%2008:15:16%20GMT	http://absinth-bochum.de/robots.txt		(from )
15:15:18	28114/28114	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Feb%202026%2008:15:17%20GMT	http://absinth-bochum.de/	E:/SPN/NhaHang/res4/absinth-bochum.de/index.html	(from )
15:15:18	861/861	---MC-	200	added ('OK')	application/rss+xml	etag:%222d4b972e90dd5ac9a938da1d06c7de78%22	http://absinth-bochum.de/feed	E:/SPN/NhaHang/res4/absinth-bochum.de/feed	(from http://absinth-bochum.de/)
15:15:19	761/761	---MC-	200	added ('OK')	application/rss+xml	etag:%222d4b972e90dd5ac9a938da1d06c7de78%22	http://absinth-bochum.de/comments/feed	E:/SPN/NhaHang/res4/absinth-bochum.de/comments/feed	(from http://absinth-bochum.de/)
15:15:19	95021/95021	---M-Z	200	added ('OK')	text/css	etag:%221732d-5fc1afc1571e1-gzip%22	http://absinth-bochum.de/wp-includes/css/dist/block-library/style.min.css?ver=6.1.9	E:/SPN/NhaHang/res4/absinth-bochum.de/wp-includes/css/dist/block-library/style.minb7d5.css	(from http://absinth-bochum.de/)
15:15:20	217/217	---M-Z	200	added ('OK')	text/css	etag:%22d9-5ec7ed9bb7333-gzip%22	http://absinth-bochum.de/wp-includes/css/classic-themes.min.css?ver=1	E:/SPN/NhaHang/res4/absinth-bochum.de/wp-includes/css/classic-themes.min68b3.css	(from http://absinth-bochum.de/)
15:15:20	4028/4028	---M-Z	200	added ('OK')	text/css	etag:%22fbc-5ec9697c717d0-gzip%22	http://absinth-bochum.de/wp-content/plugins/photo-gallery/css/bwg-fonts/fonts.css?ver=0.0.1	E:/SPN/NhaHang/res4/absinth-bochum.de/wp-content/plugins/photo-gallery/css/bwg-fonts/fonts622c.css	(from http://absinth-bochum.de/)
15:15:20	7610/7610	---M-Z	200	added ('OK')	text/css	etag:%221dba-5ec9697c73710-gzip%22	http://absinth-bochum.de/wp-content/plugins/photo-gallery/css/sumoselect.min.css?ver=3.4.6	E:/SPN/NhaHang/res4/absinth-bochum.de/wp-content/plugins/photo-gallery/css/sumoselect.min9bf7.css	(from http://absinth-bochum.de/)
15:15:21	42839/42839	---M-Z	200	added ('OK')	text/css	etag:%22a757-5ec9697c73710-gzip%22	http://absinth-bochum.de/wp-content/plugins/photo-gallery/css/jquery.mCustomScrollbar.min.css?ver=3.1.5	E:/SPN/NhaHang/res4/absinth-bochum.de/wp-content/plugins/photo-gallery/css/jquery.mCustomScrollbar.minc6bd.css	(from http://absinth-bochum.de/)
15:15:21	45857/45857	---M-Z	200	added ('OK')	text/css	etag:%22b321-5ec9697c73710-gzip%22	http://absinth-bochum.de/wp-content/plugins/photo-gallery/css/styles.min.css?ver=1.8.1	E:/SPN/NhaHang/res4/absinth-bochum.de/wp-content/plugins/photo-gallery/css/styles.minc245.css	(from http://absinth-bochum.de/)
