date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:14:23	117/117	---M-Z	200	added ('OK')	text/plain	date:Thu,%2005%20Feb%202026%2009:14:22%20GMT	https://steakhaus-wattenscheid.de/robots.txt		(from )
16:14:24	124742/124742	---M-Z	200	added ('OK')	text/html	date:Thu,%2005%20Feb%202026%2009:14:22%20GMT	https://steakhaus-wattenscheid.de/	E:/SPN/NhaHang/res10/steakhaus-wattenscheid.de/index.html	(from )
16:14:25	108733/108733	---M-Z	200	added ('OK')	text/css	etag:%226a20bf0-1a8bd-5ab7f730dc08c-gzip%22	https://steakhaus-wattenscheid.de/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=2.9.14	E:/SPN/NhaHang/res10/steakhaus-wattenscheid.de/wp-content/plugins/elementor/assets/css/frontend.min7c53.css	(from https://steakhaus-wattenscheid.de/)
16:14:25	2050/2050	---M-Z	200	added ('OK')	application/rss+xml	etag:%220eaa2680bba9a2c56778931244d79de0-gzip%22	https://steakhaus-wattenscheid.de/feed/	E:/SPN/NhaHang/res10/steakhaus-wattenscheid.de/feed/index.html	(from https://steakhaus-wattenscheid.de/)
16:14:26	35367/35367	---M-Z	200	added ('OK')	text/css	etag:%226a40880-8a27-5d912e9588614-gzip%22	https://steakhaus-wattenscheid.de/wp-content/uploads/elementor/css/post-1335.css?ver=1646050131	E:/SPN/NhaHang/res10/steakhaus-wattenscheid.de/wp-content/uploads/elementor/css/post-1335f4b9.css	(from https://steakhaus-wattenscheid.de/)
16:14:26	787/787	---M-Z	200	added ('OK')	application/rss+xml	etag:%220eaa2680bba9a2c56778931244d79de0-gzip%22	https://steakhaus-wattenscheid.de/comments/feed/	E:/SPN/NhaHang/res10/steakhaus-wattenscheid.de/comments/feed/index.html	(from https://steakhaus-wattenscheid.de/)
16:14:27	68368/68368	---M-Z	200	added ('OK')	text/css	etag:%226a21488-10b10-5a78fa0707d0d-gzip%22	https://steakhaus-wattenscheid.de/wp-content/plugins/header-footer-elementor/inc/widgets-css/frontend.css?ver=1.5.1	E:/SPN/NhaHang/res10/steakhaus-wattenscheid.de/wp-content/plugins/header-footer-elementor/inc/widgets-css/frontendcc1a.css	(from https://steakhaus-wattenscheid.de/)
16:14:27	3397/3397	---M-Z	200	added ('OK')	text/css	etag:%226a40889-d45-623abf78a2f20-gzip%22	https://steakhaus-wattenscheid.de/wp-content/uploads/elementor/css/post-446.css?ver=1728071359	E:/SPN/NhaHang/res10/steakhaus-wattenscheid.de/wp-content/uploads/elementor/css/post-446a5e3.css	(from https://steakhaus-wattenscheid.de/)
16:14:28	93181/93181	---M-Z	200	added ('OK')	text/css	etag:%226a019e5-16bfd-5ab7f7991b233-gzip%22	https://steakhaus-wattenscheid.de/wp-content/plugins/bdthemes-element-pack-lite/assets/css/bdt-uikit.css?ver=3.2	E:/SPN/NhaHang/res10/steakhaus-wattenscheid.de/wp-content/plugins/bdthemes-element-pack-lite/assets/css/bdt-uikitcf1b.css	(from https://steakhaus-wattenscheid.de/)
16:14:28	20247/20247	---M-Z	200	added ('OK')	text/css	etag:%226a019f0-4f17-5ab7f7991b233-gzip%22	https://steakhaus-wattenscheid.de/wp-content/plugins/bdthemes-element-pack-lite/assets/css/element-pack-site.css?ver=2.0.0	E:/SPN/NhaHang/res10/steakhaus-wattenscheid.de/wp-content/plugins/bdthemes-element-pack-lite/assets/css/element-pack-site001e.css	(from https://steakhaus-wattenscheid.de/)
16:14:28	110147/110147	---M-Z	200	added ('OK')	text/css	etag:%226a40d61-1ae43-610359077b311-gzip%22	https://steakhaus-wattenscheid.de/wp-includes/css/dist/block-library/style.min.css?ver=6.4.7	E:/SPN/NhaHang/res10/steakhaus-wattenscheid.de/wp-includes/css/dist/block-library/style.min07d0.css	(from https://steakhaus-wattenscheid.de/)
16:14:28	1917/1917	---M-Z	200	added ('OK')	text/css	etag:%226a2088e-77d-5ab836bff53db-gzip%22	https://steakhaus-wattenscheid.de/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.2	E:/SPN/NhaHang/res10/steakhaus-wattenscheid.de/wp-content/plugins/contact-form-7/includes/css/styles5fba.css	(from https://steakhaus-wattenscheid.de/)
16:14:29	776/776	---M-Z	200	added ('OK')	text/css	etag:%226a21422-308-5a78fa070cb2d-gzip%22	https://steakhaus-wattenscheid.de/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor.css?ver=1.5.1	E:/SPN/NhaHang/res10/steakhaus-wattenscheid.de/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementorcc1a.css	(from https://steakhaus-wattenscheid.de/)
16:14:29	16209/16209	---M-Z	200	added ('OK')	text/css	etag:%226a20c37-3f51-5ab7f730b769b-gzip%22	https://steakhaus-wattenscheid.de/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.7.0	E:/SPN/NhaHang/res10/steakhaus-wattenscheid.de/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min87e8.css	(from https://steakhaus-wattenscheid.de/)
16:14:29	18468/18468	---M-Z	200	added ('OK')	text/css	etag:%226a20c20-4824-5ab7f730c880c-gzip%22	https://steakhaus-wattenscheid.de/wp-content/plugins/elementor/assets/lib/animations/animations.min.css?ver=2.9.14	E:/SPN/NhaHang/res10/steakhaus-wattenscheid.de/wp-content/plugins/elementor/assets/lib/animations/animations.min7c53.css	(from https://steakhaus-wattenscheid.de/)
16:14:30	856/856	---M-Z	200	added ('OK')	text/css	etag:%226a20e53-358-5ab7f79ca4e6f-gzip%22	https://steakhaus-wattenscheid.de/wp-content/plugins/elementskit-lite/modules/controls/assets/css/widgetarea-editor.css?ver=1.0.0	E:/SPN/NhaHang/res10/steakhaus-wattenscheid.de/wp-content/plugins/elementskit-lite/modules/controls/assets/css/widgetarea-editor8a54.css	(from https://steakhaus-wattenscheid.de/)
16:14:30	760/760	---M-Z	200	added ('OK')	text/css	etag:%226a4088e-2f8-5ab7f7445cba2-gzip%22	https://steakhaus-wattenscheid.de/wp-content/uploads/elementor/css/post-7.css?ver=1595938783	E:/SPN/NhaHang/res10/steakhaus-wattenscheid.de/wp-content/uploads/elementor/css/post-7998c.css	(from https://steakhaus-wattenscheid.de/)
16:14:31	23596/23596	---M-Z	200	added ('OK')	text/css	etag:%226a4088b-5c2c-649d41c5d38a2-gzip%22	https://steakhaus-wattenscheid.de/wp-content/uploads/elementor/css/post-5.css?ver=1770025218	E:/SPN/NhaHang/res10/steakhaus-wattenscheid.de/wp-content/uploads/elementor/css/post-5c59c.css	(from https://steakhaus-wattenscheid.de/)
16:14:31	35559/35559	---M-Z	200	added ('OK')	text/css	etag:%226a402d6-8ae7-5ab7f878f1947-gzip%22	https://steakhaus-wattenscheid.de/wp-content/themes/page-builder-framework/style.css?ver=2.5.2	E:/SPN/NhaHang/res10/steakhaus-wattenscheid.de/wp-content/themes/page-builder-framework/style16b9.css	(from https://steakhaus-wattenscheid.de/)
16:14:31	8491/8491	---M-Z	200	added ('OK')	text/css	etag:%226a4042d-212b-5ab7f878f1947-gzip%22	https://steakhaus-wattenscheid.de/wp-content/themes/page-builder-framework/css/min/responsive-min.css?ver=2.5.2	E:/SPN/NhaHang/res10/steakhaus-wattenscheid.de/wp-content/themes/page-builder-framework/css/min/responsive-min16b9.css	(from https://steakhaus-wattenscheid.de/)
16:14:32	13851/13851	---M-Z	200	added ('OK')	text/css	etag:%226a01825-361b-5ab7f635562a4-gzip%22	https://steakhaus-wattenscheid.de/wp-content/plugins/3d-flipbook-dflip-lite/assets/css/themify-icons.min.css?ver=1.6.11	E:/SPN/NhaHang/res10/steakhaus-wattenscheid.de/wp-content/plugins/3d-flipbook-dflip-lite/assets/css/themify-icons.mina242.css	(from https://steakhaus-wattenscheid.de/)
16:14:32	26408/26408	---M-Z	200	added ('OK')	text/css	etag:%226a01821-6728-5ab7f635562a4-gzip%22	https://steakhaus-wattenscheid.de/wp-content/plugins/3d-flipbook-dflip-lite/assets/css/dflip.min.css?ver=1.6.11	E:/SPN/NhaHang/res10/steakhaus-wattenscheid.de/wp-content/plugins/3d-flipbook-dflip-lite/assets/css/dflip.mina242.css	(from https://steakhaus-wattenscheid.de/)
16:14:32	8894/8894	---M-Z	200	added ('OK')	text/css	etag:%226a20e21-22be-5ab7f79c8c7cf-gzip%22	https://steakhaus-wattenscheid.de/wp-content/plugins/elementskit-lite/libs/framework/assets/css/frontend-style.min.css?ver=1.5.9	E:/SPN/NhaHang/res10/steakhaus-wattenscheid.de/wp-content/plugins/elementskit-lite/libs/framework/assets/css/frontend-style.min7fb9.css	(from https://steakhaus-wattenscheid.de/)
16:14:33	187491/187491	---M-Z	200	added ('OK')	text/css	etag:%226a20f47-2dc63-5ab7f79cebb40-gzip%22	https://steakhaus-wattenscheid.de/wp-content/plugins/elementskit-lite/widgets/init/assets/css/vendors.css?ver=1.5.9	E:/SPN/NhaHang/res10/steakhaus-wattenscheid.de/wp-content/plugins/elementskit-lite/widgets/init/assets/css/vendors7fb9.css	(from https://steakhaus-wattenscheid.de/)
16:14:34	23208/23208	---M-Z	200	added ('OK')	text/css	etag:%226a20f44-5aa8-5ab7f79cebb40-gzip%22	https://steakhaus-wattenscheid.de/wp-content/plugins/elementskit-lite/widgets/init/assets/css/responsive.css?ver=1.5.9	E:/SPN/NhaHang/res10/steakhaus-wattenscheid.de/wp-content/plugins/elementskit-lite/widgets/init/assets/css/responsive7fb9.css	(from https://steakhaus-wattenscheid.de/)
16:14:34	759442/759442	---MCZ	200	added ('OK')	text/css	etag:%226a20f46-b9692-5ab7f79cee250-gzip%22	https://steakhaus-wattenscheid.de/wp-content/plugins/elementskit-lite/widgets/init/assets/css/style.css?ver=1.5.9	E:/SPN/NhaHang/res10/steakhaus-wattenscheid.de/wp-content/plugins/elementskit-lite/widgets/init/assets/css/style7fb9.css	(from https://steakhaus-wattenscheid.de/)
16:14:35	55753/55753	---M-Z	200	added ('OK')	text/css	etag:%226a20c4a-d9c9-5ab7f730c12db-gzip%22	https://steakhaus-wattenscheid.de/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min.css?ver=5.12.0	E:/SPN/NhaHang/res10/steakhaus-wattenscheid.de/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.minb683.css	(from https://steakhaus-wattenscheid.de/)
16:14:35	668/668	---M-Z	200	added ('OK')	text/css	etag:%226a20c51-29c-5ab7f730c12db-gzip%22	https://steakhaus-wattenscheid.de/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min.css?ver=5.12.0	E:/SPN/NhaHang/res10/steakhaus-wattenscheid.de/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.minb683.css	(from https://steakhaus-wattenscheid.de/)
16:14:36	676/676	---M-Z	200	added ('OK')	text/css	etag:%226a20c4f-2a4-5ab7f730c12db-gzip%22	https://steakhaus-wattenscheid.de/wp-content/plugins/elementor/assets/lib/font-awesome/css/regular.min.css?ver=5.12.0	E:/SPN/NhaHang/res10/steakhaus-wattenscheid.de/wp-content/plugins/elementor/assets/lib/font-awesome/css/regular.minb683.css	(from https://steakhaus-wattenscheid.de/)
16:14:36	661/661	---M-Z	200	added ('OK')	text/css	etag:%226a20c46-295-5ab7f730c12db-gzip%22	https://steakhaus-wattenscheid.de/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.min.css?ver=5.12.0	E:/SPN/NhaHang/res10/steakhaus-wattenscheid.de/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.minb683.css	(from https://steakhaus-wattenscheid.de/)
16:14:37	68412/68412	---M-Z	200	added ('OK')	text/css	etag:%226a20e51-10b3c-5ab7f79ca4e6f-gzip%22	https://steakhaus-wattenscheid.de/wp-content/plugins/elementskit-lite/modules/controls/assets/css/ekiticons.css?ver=5.9.0	E:/SPN/NhaHang/res10/steakhaus-wattenscheid.de/wp-content/plugins/elementskit-lite/modules/controls/assets/css/ekiticonsad76.css	(from https://steakhaus-wattenscheid.de/)
16:14:37	87553/87553	---M-Z	200	added ('OK')	text/javascript	etag:%226a40f34-15601-60efbd644dfe5-gzip%22	https://steakhaus-wattenscheid.de/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	E:/SPN/NhaHang/res10/steakhaus-wattenscheid.de/wp-includes/js/jquery/jquery.minf43b.js	(from https://steakhaus-wattenscheid.de/)
16:14:38	13577/13577	---M-Z	200	added ('OK')	text/javascript	etag:%226a40f2c-3509-60efbd644d045-gzip%22	https://steakhaus-wattenscheid.de/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	E:/SPN/NhaHang/res10/steakhaus-wattenscheid.de/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://steakhaus-wattenscheid.de/)
16:14:39	38451/38451	---MC-	200	added ('OK')	application/json	date:Thu,%2005%20Feb%202026%2009:14:38%20GMT	https://steakhaus-wattenscheid.de/wp-json/wp/v2/pages/5	E:/SPN/NhaHang/res10/steakhaus-wattenscheid.de/wp-json/wp/v2/pages/5.json	(from https://steakhaus-wattenscheid.de/)
