date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:26:35	115/115	---MC-	200	added ('OK')	text/plain	date:Thu,%2005%20Feb%202026%2008:26:35%20GMT	https://eventgenuss.de/robots.txt		(from )
15:26:35	123701/123701	---M-Z	200	added ('OK')	text/html	etag:%226832-64a0c49ccc9d9%22	https://eventgenuss.de/	E:/SPN/NhaHang/res5/eventgenuss.de/index.html	(from )
15:26:36	1028/1028	---MC-	200	added ('OK')	application/rss+xml	etag:%2289e61548fd4d85bccaababdbcade2809%22	https://eventgenuss.de/feed/	E:/SPN/NhaHang/res5/eventgenuss.de/feed/index.html	(from https://eventgenuss.de/)
15:26:36	2111/2111	---MC-	200	added ('OK')	application/json	date:Thu,%2005%20Feb%202026%2008:26:36%20GMT	https://eventgenuss.de/wp-json/oembed/1.0/embed?url=https%3A%2F%2Feventgenuss.de%2F	E:/SPN/NhaHang/res5/eventgenuss.de/wp-json/oembed/1.0/embed47f5.json	(from https://eventgenuss.de/)
15:26:37	2265/2265	---MC-	200	added ('OK')	text/xml	date:Thu,%2005%20Feb%202026%2008:26:36%20GMT	https://eventgenuss.de/wp-json/oembed/1.0/embed?url=https%3A%2F%2Feventgenuss.de%2F&format=xml	E:/SPN/NhaHang/res5/eventgenuss.de/wp-json/oembed/1.0/embedba23	(from https://eventgenuss.de/)
15:26:37	2947/2947	---M-Z	200	added ('OK')	text/css	etag:%22b83-644ce5082eeae-gzip%22	https://eventgenuss.de/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=6.1.4	E:/SPN/NhaHang/res5/eventgenuss.de/wp-content/plugins/contact-form-7/includes/css/styles1b46.css	(from https://eventgenuss.de/)
15:26:37	713/713	---MC-	200	added ('OK')	application/rss+xml	etag:%2289e61548fd4d85bccaababdbcade2809%22	https://eventgenuss.de/comments/feed/	E:/SPN/NhaHang/res5/eventgenuss.de/comments/feed/index.html	(from https://eventgenuss.de/)
15:26:37	713/713	---MC-	200	added ('OK')	application/rss+xml	etag:%2289e61548fd4d85bccaababdbcade2809%22	https://eventgenuss.de/startseite/feed/	E:/SPN/NhaHang/res5/eventgenuss.de/startseite/feed/index.html	(from https://eventgenuss.de/)
15:26:38	2782/2782	---M-Z	200	added ('OK')	text/css	etag:%22ade-6462e5a96096c-gzip%22	https://eventgenuss.de/wp-content/plugins/complianz-gdpr/assets/css/cookieblocker.min.css?ver=1766014762	E:/SPN/NhaHang/res5/eventgenuss.de/wp-content/plugins/complianz-gdpr/assets/css/cookieblocker.mina05f.css	(from https://eventgenuss.de/)
15:26:38	5456/5456	---M-Z	200	added ('OK')	text/css	etag:%221550-648ee6f0380ba-gzip%22	https://eventgenuss.de/wp-content/themes/hello-elementor/assets/css/reset.css?ver=3.4.6	E:/SPN/NhaHang/res5/eventgenuss.de/wp-content/themes/hello-elementor/assets/css/reset9bf7.css	(from https://eventgenuss.de/)
