date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:28:40	117/117	---MC-	200	added ('OK')	text/plain	date:Thu,%2005%20Feb%202026%2008:28:40%20GMT	https://gasthausgoeke.de/robots.txt		(from )
15:28:42	117379/117379	---MC-	200	added ('OK')	text/html	date:Thu,%2005%20Feb%202026%2008:28:40%20GMT	https://gasthausgoeke.de/	E:/SPN/NhaHang/res6/gasthausgoeke.de/index.html	(from )
15:28:44	767/767	---MC-	200	added ('OK')	application/rss+xml	etag:%225d53c98937df4ddd668135e3fb8d53a0%22	https://gasthausgoeke.de/comments/feed/	E:/SPN/NhaHang/res6/gasthausgoeke.de/comments/feed/index.html	(from https://gasthausgoeke.de/)
15:28:44	1101/1101	---MC-	200	added ('OK')	application/rss+xml	etag:%225d53c98937df4ddd668135e3fb8d53a0%22	https://gasthausgoeke.de/feed/	E:/SPN/NhaHang/res6/gasthausgoeke.de/feed/index.html	(from https://gasthausgoeke.de/)
15:28:44	2169/2169	---MC-	200	added ('OK')	application/json	date:Thu,%2005%20Feb%202026%2008:28:44%20GMT	https://gasthausgoeke.de/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fgasthausgoeke.de%2F	E:/SPN/NhaHang/res6/gasthausgoeke.de/wp-json/oembed/1.0/embed74f6.json	(from https://gasthausgoeke.de/)
15:28:45	64056/64056	---M--	200	added ('OK')	font/ttf	etag:%22fa38-6041314049bc0%22	https://gasthausgoeke.de/wp-content/uploads/2023/08/ITCEDSCR.ttf	E:/SPN/NhaHang/res6/gasthausgoeke.de/wp-content/uploads/2023/08/ITCEDSCR.ttf	(from https://gasthausgoeke.de/)
15:28:45	2323/2323	---MC-	200	added ('OK')	text/xml	date:Thu,%2005%20Feb%202026%2008:28:44%20GMT	https://gasthausgoeke.de/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fgasthausgoeke.de%2F&format=xml	E:/SPN/NhaHang/res6/gasthausgoeke.de/wp-json/oembed/1.0/embedf346	(from https://gasthausgoeke.de/)
15:28:45	49388/49388	---M--	200	added ('OK')	font/ttf	etag:%22c0ec-603e95edbf280%22	https://gasthausgoeke.de/wp-content/uploads/2023/08/Old-English-Five.ttf	E:/SPN/NhaHang/res6/gasthausgoeke.de/wp-content/uploads/2023/08/Old-English-Five.ttf	(from https://gasthausgoeke.de/)
15:28:46	4552/4552	---M-Z	200	added ('OK')	text/css	etag:c13aa1fd2e084a6b19b0df2322bc054b	https://gasthausgoeke.de/wp-content/cache/autoptimize/autoptimize_single_7e8fad7884265e0279a94f0582e94ccd.php?ver=2.5.0	E:/SPN/NhaHang/res6/gasthausgoeke.de/wp-content/cache/autoptimize/autoptimize_single_7e8fad7884265e0279a94f0582e94ccd0875.css	(from https://gasthausgoeke.de/)
15:28:46	59004/59004	---M--	200	added ('OK')	text/css	etag:%22e67c-64507e35e2bbe%22	https://gasthausgoeke.de/wp-includes/css/dashicons.min.css?ver=6.9.1	E:/SPN/NhaHang/res6/gasthausgoeke.de/wp-includes/css/dashicons.min4d80.css	(from https://gasthausgoeke.de/)
