date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:58:55	131/131	---M-Z	200	added ('OK')	text/plain	etag:%222035342-1770275247;gz%22	https://www.kumpeltreff.info/robots.txt		(from )
14:58:56	433843/433843	---M-Z	200	added ('OK')	text/html	etag:%222035144-1770274041;gz%22	https://www.kumpeltreff.info/	E:/SPN/NhaHang/res3/www.kumpeltreff.info/index.html	(from )
14:58:56	7614/7614	---M--	200	added ('OK')	image/png	date:Wed,%2018%20Jun%202025%2015:03:39%20GMT	https://www.kumpeltreff.info/wp-content/uploads/2021/12/Knepper-Management-Favicon.png	E:/SPN/NhaHang/res3/www.kumpeltreff.info/wp-content/uploads/2021/12/Knepper-Management-Favicon.png	(from https://www.kumpeltreff.info/)
14:58:58	25037/25037	---MCZ	200	added ('OK')	application/rss+xml	etag:%22b373bd53730f8ce4edeed93394082630%22	https://www.kumpeltreff.info/feed/	E:/SPN/NhaHang/res3/www.kumpeltreff.info/feed/index.html	(from https://www.kumpeltreff.info/)
14:58:58	751/751	---M-Z	200	added ('OK')	application/rss+xml	etag:%22b373bd53730f8ce4edeed93394082630%22	https://www.kumpeltreff.info/comments/feed/	E:/SPN/NhaHang/res3/www.kumpeltreff.info/comments/feed/index.html	(from https://www.kumpeltreff.info/)
14:58:59	2371/2371	---M-Z	200	added ('OK')	application/json	etag:%222036832-1770278339;gz%22	https://www.kumpeltreff.info/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.kumpeltreff.info%2F	E:/SPN/NhaHang/res3/www.kumpeltreff.info/wp-json/oembed/1.0/embed5960.json	(from https://www.kumpeltreff.info/)
14:59:00	2532/2532	---M-Z	200	added ('OK')	text/xml	etag:%222036834-1770278340;gz%22	https://www.kumpeltreff.info/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.kumpeltreff.info%2F&format=xml	E:/SPN/NhaHang/res3/www.kumpeltreff.info/wp-json/oembed/1.0/embed4e17	(from https://www.kumpeltreff.info/)
14:59:02	144128/144128	---M-Z	200	added ('OK')	text/css	date:Wed,%2018%20Jun%202025%2015:03:13%20GMT	https://www.kumpeltreff.info/wp-content/litespeed/ucss/a16ef890b1f90582c8007b9f305cb480.css?ver=e7985	E:/SPN/NhaHang/res3/www.kumpeltreff.info/wp-content/litespeed/ucss/a16ef890b1f90582c8007b9f305cb480a7e7.css	(from https://www.kumpeltreff.info/)
14:59:05	27635/27635	---M--	200	added ('OK')	image/png	etag:%22275523a714196686%22	https://i0.wp.com/www.kumpeltreff.info/wp-content/uploads/2021/12/Kumpeltreff-Logo-Header-.png?resize=250%2C232&ssl=1	E:/SPN/NhaHang/res3/i0.wp.com/www.kumpeltreff.info/wp-content/uploads/2021/12/Kumpeltreff-Logo-Header-5ba2.png	(from https://www.kumpeltreff.info/)
14:59:10	293428/293428	---MCZ	200	added ('OK')	application/json	date:Thu,%2005%20Feb%202026%2007:59:05%20GMT	https://www.kumpeltreff.info/wp-json/wp/v2/pages/96	E:/SPN/NhaHang/res3/www.kumpeltreff.info/wp-json/wp/v2/pages/96.json	(from https://www.kumpeltreff.info/)
14:59:11	524605/524605	---MCZ	200	added ('OK')	application/json	etag:%222036837-1770278345;gz%22	https://www.kumpeltreff.info/wp-json/	E:/SPN/NhaHang/res3/www.kumpeltreff.info/wp-json/index.html	(from https://www.kumpeltreff.info/)
14:59:15	235339/235339	---M--	200	added ('OK')	image/jpeg	date:Wed,%2018%20Jun%202025%2015:03:43%20GMT	http://www.kumpeltreff.info/wp-content/uploads/2022/02/Kumpeltreff-Background-Test-02.jpg	E:/SPN/NhaHang/res3/www.kumpeltreff.info/wp-content/uploads/2022/02/Kumpeltreff-Background-Test-02.jpg	(from https://www.kumpeltreff.info/)
14:59:15	835/835	---M-Z	200	added ('OK')	text/xml	date:Thu,%2005%20Feb%202026%2007:59:07%20GMT	https://www.kumpeltreff.info/xmlrpc.php?rsd	E:/SPN/NhaHang/res3/www.kumpeltreff.info/xmlrpc0db0.php	(from https://www.kumpeltreff.info/)
14:59:16	22204/22204	---M--	200	added ('OK')	font/woff	date:Thu,%2010%20Jul%202025%2011:52:34%20GMT	https://www.kumpeltreff.info/wp-content/themes/Avada/includes/lib/assets/fonts/icomoon/awb-icons.woff	E:/SPN/NhaHang/res3/www.kumpeltreff.info/wp-content/themes/Avada/includes/lib/assets/fonts/icomoon/awb-icons.woff	(from https://www.kumpeltreff.info/)
14:59:18	13264/13264	---M--	200	added ('OK')	font/woff2	date:Thu,%2010%20Jul%202025%2011:52:34%20GMT	http://www.kumpeltreff.info/wp-content/themes/Avada/includes/lib/assets/fonts/fontawesome/webfonts/fa-regular-400.woff2	E:/SPN/NhaHang/res3/www.kumpeltreff.info/wp-content/themes/Avada/includes/lib/assets/fonts/fontawesome/webfonts/fa-regular-400.woff2	(from https://www.kumpeltreff.info/)
